name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
Art & Craft CR0,46 Surrey Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532286.0001,165435.0001,-0.099269547,51.37204458,03/20/2022,£
Mr Fox,34 Surrey Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532286.0001,165435.0001,-0.099269547,51.37204458,03/20/2022,£
Royal Standard,1 Sheldon Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532216.0001,165124.0001,-0.100390448,51.36926569,03/20/2022,£
Bulls Head,39 Laud Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532285.0001,165110.0001,-0.09940489,51.36912379,03/20/2022,£
Bishop's Wine Bar,1129 Whitgift Centre,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532315.0001,165748.0001,-0.098736551,51.37485099,03/20/2022,£
Luna,18 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532304.0001,165541.0001,-0.098971601,51.37299309,03/20/2022,£££
Dice,36 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532306.0001,165423.0001,-0.098986818,51.37193207,03/20/2022,££
Alchemy,28-30 St George's Walk,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532479.0001,165481.0001,-0.09648095,51.37241301,03/20/2022,£
Windmill,224 St James's Road,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532781.0001,166444.0001,-0.091784306,51.38099762,03/20/2022,£
Two Brewers,221 Gloucester Road,Croydon,,Croydon,,,E09000008,Selhurst,E05011479,533008.0001,167177.0001,-0.088249435,51.38753243,03/20/2022,£
Bedford Tavern,16 Sydenham Road,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532710.0001,166297.0001,-0.092858978,51.37969303,03/20/2022,£
Olde Clock Tower,35 Whitehorse Road,Croydon,,Croydon,,,E09000008,Selhurst,E05011479,532466.0001,166825.0001,-0.096166409,51.38449555,03/20/2022,£
Pawson's Arms,69 Pawson's Road,Croydon,,Croydon,,,E09000008,Selhurst,E05011479,532563.0001,167724.0001,-0.094437424,51.39255284,03/20/2022,£££
Lion Inn,182 Pawson's Road,Croydon,,Croydon,,,E09000008,Bensham Manor,E05011464,532359.0001,167576.0001,-0.09742333,51.39127029,03/20/2022,£££
Phoenix,12 Station Road,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532221.0001,166111.0001,-0.099951351,51.37813544,03/20/2022,£££
Old Fox & Hounds,1 London Road,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532068.0001,166107.0001,-0.10215019,51.37813511,03/20/2022,£££
Saints & Sinners,482 London Road,Croydon,,Croydon,,,E09000008,West Thornton,E05011488,531552.0001,167078.0001,-0.109201188,51.38698208,03/20/2022,£
Golden Lion,144 Stanley Road,Croydon,,Croydon,,,E09000008,West Thornton,E05011488,531174.0001,166979.0001,-0.114667601,51.3861798,03/20/2022,£
Wandle Arms,90 Waddon New Road,Croydon,,Croydon,,,E09000008,Waddon,E05011487,531764.0001,165584.0001,-0.10671016,51.37350515,03/20/2022,£
Waddon,2 Stafford Road,Croydon,,Croydon,,,E09000008,Waddon,E05011487,531189.0001,164741.0001,-0.115278601,51.36606158,03/20/2022,££
Hare & Hounds,325 Purley Way,Croydon,,Croydon,,,E09000008,Waddon,E05011487,531153.0001,165371.0001,-0.115563002,51.37173223,03/20/2022,£
Plough,Croydon Road,Croydon,Beddington,Sutton,,,E09000029,Beddington North,E05000555,530142.0001,164783.0001,-0.130296269,51.36668,03/20/2022,£
Harvest Home,27 Beddington Lane,Croydon,,Sutton,,,E09000029,Beddington North,E05000555,530140.0001,165320.0001,-0.130128343,51.37150697,03/20/2022,£££
Frankie & Benny's,Valley Leisure Park Purley Way,Croydon,,Croydon,,,E09000008,Broad Green,E05011465,530710.0001,165916.0001,-0.121723944,51.37673279,03/20/2022,£
